county,state,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,mean_2010,mean_2011,mean_2012,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019
martin county,IN,N/A,18,101,2068,120399.81818181818,120399.81818181818,120399.81818181818,120399.81818181818,120399.81818181818,120399.81818181818,120399.81818181818,120399.81818181818,127791.625,126950.0
clinton county,KY,N/A,21,53,2069,103370.83333333333,103370.83333333333,103370.83333333333,103370.83333333333,103370.83333333333,103370.83333333333,103370.83333333333,103370.83333333333,103370.83333333333,84000.0
sublette county,WY,N/A,56,35,2070,326483.3333333333,247966.66666666666,256634.625,241708.75,250587.5,241995.83333333334,233570.83333333334,221958.33333333334,243089.5,234900.0
mccormick county,SC,N/A,45,65,2071,273803.75,264600.0,240237.5,239458.33333333334,245379.16666666666,241245.83333333334,249841.66666666666,251387.5,256845.83333333334,259700.0
ochiltree county,TX,N/A,48,357,2072,138500.0,138500.0,138500.0,138500.0,138500.0,138500.0,138500.0,138500.0,136387.41666666666,157450.0
washington county,ID,N/A,16,87,2073,200100.0,200100.0,200100.0,200100.0,200100.0,200100.0,200100.0,200100.0,198229.16666666666,229125.0
nantucket county,MA,N/A,25,19,2074,1689541.6666666667,1629583.3333333333,1661775.0,1841416.6666666667,2222083.3333333335,2571458.3333333335,2557500.0,2714791.6666666665,2650833.3333333335,2395000.0
teton county,ID,Jackson,16,81,2075,390278.5714285714,390278.5714285714,390278.5714285714,390278.5714285714,390278.5714285714,390278.5714285714,390278.5714285714,409020.8333333333,465083.3333333333,480500.0
metcalfe county,KY,Glasgow,21,169,2076,122150.0,122150.0,122150.0,122150.0,122150.0,122150.0,122150.0,112354.83333333333,124037.5,105925.0
carbon county,MT,Billings,30,9,2077,299406.25,253612.5,255216.66666666666,284400.0,278141.6666666667,288050.0,288616.6666666667,314691.6666666667,363106.25,374200.0
lanier county,GA,Valdosta,13,173,2077,134541.66666666666,128341.66666666667,125828.75,131791.66666666666,125837.5,127758.33333333333,126564.54166666667,127547.95833333333,132637.5,141500.0
cumberland county,VA,N/A,51,49,2079,189681.25,161845.83333333334,155493.5,150333.33333333334,154891.66666666666,165785.0,170810.41666666666,177891.66666666666,172068.75,196825.0
cheyenne county,NE,N/A,31,33,2080,164700.0,164700.0,164700.0,164700.0,164700.0,164700.0,145316.66666666666,136975.0,121954.16666666667,119665.25
brown county,KS,N/A,20,13,2081,64137.5,69537.5,70533.33333333333,74187.5,81516.66666666667,80260.25,70004.125,71591.66666666667,64458.333333333336,73700.0
camden county,NC,Elizabeth City,37,29,2082,254613.66666666666,259707.83333333334,227977.08333333334,231581.25,233412.5,243883.33333333334,263357.8333333333,261253.16666666666,263870.8333333333,285900.0
wilkinson county,MS,N/A,28,157,2083,193229.16666666666,193229.16666666666,193229.16666666666,193229.16666666666,193229.16666666666,193229.16666666666,193229.16666666666,193229.16666666666,193229.16666666666,183750.0
valley county,ID,N/A,16,85,2084,303182.25,287862.5,259716.66666666666,292900.0,308933.3333333333,310214.5833333333,327400.0,355462.5,389829.1666666667,470725.0
saint clair county,MO,N/A,29,185,2085,112200.0,112200.0,112200.0,112200.0,112200.0,112200.0,90295.79166666667,101512.5,106162.5,111250.0
montmorency county,MI,N/A,26,119,2086,92891.66666666667,90208.33333333333,89629.16666666667,88037.5,86908.33333333333,94691.66666666667,94945.83333333333,95383.29166666667,102329.16666666667,99700.0
richland county,MT,N/A,30,83,2087,236990.0,236990.0,236990.0,236990.0,236990.0,236990.0,236990.0,236990.0,236990.0,218500.0
stevens county,MN,N/A,27,149,2088,143175.0,143175.0,143175.0,143175.0,143175.0,143175.0,143175.0,130529.16666666667,135450.0,131900.0
ozark county,MO,N/A,29,153,2089,160190.0,160190.0,162095.83333333334,156724.79166666666,161166.66666666666,156975.0,148691.66666666666,159666.66666666666,166529.16666666666,177500.0
modoc county,CA,N/A,6,49,2090,141654.16666666666,131200.0,129675.0,127112.5,126462.41666666667,147775.0,154774.95833333334,152416.66666666666,149916.66666666666,170750.0
stephens county,TX,N/A,48,429,2091,125066.66666666667,125066.66666666667,125066.66666666667,125066.66666666667,125066.66666666667,125066.66666666667,124458.33333333333,132020.83333333334,148516.66666666666,174949.5
hickory county,MO,N/A,29,85,2092,110041.66666666667,110041.66666666667,110041.66666666667,110041.66666666667,110041.66666666667,110041.66666666667,98987.5,100204.16666666667,94420.83333333333,98600.0
alger county,MI,N/A,26,3,2093,127758.33333333333,118541.66666666667,120854.16666666667,118608.33333333333,121666.66666666667,126187.5,142370.83333333334,138975.0,154225.0,157450.0
pipestone county,MN,N/A,27,117,2094,104328.57142857143,104328.57142857143,104328.57142857143,104328.57142857143,104328.57142857143,104328.57142857143,104328.57142857143,104328.57142857143,113033.33333333333,122400.0
cloud county,KS,N/A,20,29,2095,81006.25,81006.25,81006.25,81006.25,81006.25,78070.83333333333,74404.16666666667,65858.33333333333,72554.16666666667,77450.0
